Country,Age
Afghanistan,17.8396832213
Albania,23.3265094757
Algeria,29.6
Angola,
Argentina,23.263961792
Armenia,22.9860343933
Australia,28.9312553406
Austria,28.9375686646
Azerbaijan,23.8863067627
Bahamas,27.1927719116
Bahrain,25.9046039581
Bangladesh,18.6699981689
Barbados,31.7680397034
Belarus,22.7772026062
Belgium,30.3419761658
Belize,26.1776332855
Benin,20.3333320618
Bhutan,20.0859298706
Bolivia,22.5954589844
Botswana,27.1115856171
Brazil,23.0972957611
Brunei,25.1461029053
Bulgaria,24.1597919464
Burkina Faso,19.3993968964
Burundi,22.4630279541
Cambodia,22.3000011444
Cameroon,20.1510601044
Canada,26.7570552826
Cape Verde,25.6869010925
Central African rep.,19.4087657928
Chad,18.3400001526
Chile,23.3717575073
China,23.3116226196
Colombia,23.0043640137
Comoros,23.6149997711
"Congo, Dem. Rep.",
"Congo, Rep.",
Costa Rica,23.3900241852
Cote d'Ivoire,22.0029299081
Croatia,26.2307243347
Cuba,
Cyprus,25.2196941376
Czech rep.,27.6232471466
Denmark,30.8473587036
Dominican rep.,21.4746780396
Ecuador,21.5546684265
Egypt,23.6300695549
El Salvador,22.2862110138
Equatorial Guinea,
Eritrea,20.5549964905
Estonia,27.5829658508
Ethiopia,20.5055027008
Fiji,22.8952884674
Finland,30.5371894836
France,30.9642658234
French Guiana,31.6989803314
French Polynesia,29.8670692444
Gabon,22.1028518677
Gambia,19.6466960907
Georgia,22.4673881531
Germany,30.1288509369
Ghana,22.449798584
Greece,26.9438533783
Guadeloupe,31.5742797852
Guam,24.3624839783
Guatemala,20.4507350922
Guinea,18.7199993134
Guyana,27.7958927155
Haiti,22.275510788
Honduras,20.3504180908
"Hong Kong, China",28.6178035736
Hungary,27.8507633209
Iceland,27.5123825073
India,19.93957901
Indonesia,22.1122436523
Iran,22.1446647644
Iraq,24.8413105011
Ireland,30.7126808167
Israel,25.8736038208
Italy,29.1675796509
Jamaica,33.2029190063
Japan,28.5721893311
Jordan,25.8647823334
Kazakhstan,23.3592510223
Kenya,21.4477787018
"Korea, Rep.",27.0689620972
Kuwait,25.0653419495
Kyrgyzstan,21.8441143036
Latvia,28.1573181152
Lebanon,
Lesotho,21.3099536896
Liberia,20.1608028412
Libya,29.1911010742
Lithuania,26.1340484619
Luxembourg,27.8359394073
"macao, China",26.3622303009
"Macedonia, FYR",22.8783988953
Madagascar,19.8491153717
Malawi,18.9449996948
Malaysia,25.1178607941
Maldives,21.8209266663
Mali,18.4899997711
Malta,
Martinique,33.2695350647
Mauritania,21.775510788
Mauritius,22.551574707
Mexico,22.7302284241
Moldova,20.8733386993
Mongolia,23.658536911
Montenegro,25.9379901886
Morocco,26.4412994385
Mozambique,18.7386016846
Myanmar,24.5444698334
Namibia,27.5258922577
Nepal,18.9756584167
Netherlands,30.5145397186
Netherlands Antilles,30.2259426117
New Caledonia,30.3737201691
New Zealand,30.0053806305
Nicaragua,20.4489173889
Niger,17.6001987457
Nigeria,20.9081726074
Norway,31.6225337982
Oman,21.6717033386
Pakistan,22.1284122467
Panama,21.9186382294
Papua New Guinea,20.8016032064
Paraguay,22.6956501007
Peru,23.5653114319
Philippines,23.1832485199
Poland,25.2997341156
Portugal,23.930186611
Puerto Rico,22.5851041882
Qatar,25.7856025696
Reunion,30.5081558228
Romania,25.3012695313
Russia,23.5897407532
Rwanda,22.5783634186
Saint Lucia,32.26
Saint Vincent and the Grenadines,30.9276502722
Samoa,23.9495315552
Sao Tome and Principe,17.7586193085
Saudi Arabia,25.8379764557
Senegal,21.5365371704
Serbia,25.9379901886
Sierra Leone,19.7557220459
Singapore,26.5067749023
Slovak Republic,26.3646183014
Slovenia,30.2951374054
Solomon Islands,21.2281646729
South Africa,27.9038009644
Spain,29.3057842255
Sri Lanka,25.2637119293
Sudan,22.6663284302
Suriname,
Swaziland,25.9596500397
Sweden,32.4049835205
Switzerland,29.115190506
Syria,
Taiwan,27.8
Tajikistan,20.9141407013
Tanzania,19.9692649841
Thailand,24.0560951233
Togo,21.3490467072
Tonga,25.5024166107
Trinidad and Tobago,26.7806072235
Tunisia,29.2
Turkey,23.047908783
Turkmenistan,23.3668346405
Uganda,20.2470417023
Ukraine,22.8165378571
United Arab Emirates,23.0867366791
United Kingdom,29.7516212463
United States,25.3
Uruguay,23.3004932404
Uzbekistan,20.5831623077
Vanuatu,22.6080265045
Venezuela,22.7484035492
West Bank and Gaza,22.8644924164
Western Sahara,
VietNam,23.2139110565
Virgin Islands (U.S.),29.9101161957
"Yemen, Rep.",21.67
Zambia,20.5310611725
Zimbabwe,21.0311889648
